번호,관광지명,주소,지도 x좌표,지도 y좌표,전화번호,홈페이지주소(URL),등록일,지역,1차분류,2차분류,담당기관
77,밀양 위양지,경상남도 밀양시 부북면 위양로 273-36,35.54750665,128.7159202,055-359-5787,,2022-11-09,밀양시,자연관광,강과호수,밀양시
78,김해 공방마을,경상남도 김해시 대청로26번길 23 (관동동),35.17783051,128.8021888,055-330-4448,,2022-11-09,김해시,문화관광,문화체험장,관광과
79,통영 나폴리농원,경상남도 통영시 산양읍 미륵산길 152,34.80183337,128.4239444,055-641-7005,https://blog.naver.com/nongbuga1,2022-11-03,통영시,자연관광,생태관광,나폴리농원
80,통영 옻칠미술관,경상남도 통영시 용남면 용남해안로 36,34.85461932,128.4429192,055-649-5257,http://ottchil.or.kr,2022-11-03,통영시,문화관광,박물관과문화채널,통영옷칠미술관
81,사천 박재삼문학관 및 호연재,경상남도 사천시 박재삼길 27 (서금동),34.92592006,128.0743454,055-831-2710,https://www.sacheon.go.kr/life/04063/04064.web,2022-10-18,사천시,문화관광,박물관과문화채널,사천시 문화체육과
82,창원 마산로봇랜드 테마파크,경상남도 창원시 마산합포구 구산면 로봇랜드로 250,35.07685147,128.5870544,055-214-6000,https://robot-land.co.kr,2022-09-21,창원시,문화관광,박물관과문화채널,경상남도 전략산업과
83,창원 도민의 집,경상남도 창원시 성산구 외동반림로248번길 36,35.23623222,128.6815465,055-254-5564,,2022-09-20,창원시,문화관광,기념물,경상남도
84,사천 케이블카자연휴양림,경상남도 사천시 실안길 242-45 (실안동),34.95016897,128.0576108,055-835-9524,https://www.foresttrip.go.kr/,2022-09-19,사천시,자연관광,산과계곡,사천시 녹지공원과
85,사천 아라마루아쿠아리움,경상남도 사천시 사천대로 18 (대방동),34.93381108,128.0532673,055-835-5571,https://aramaruaquarium.com/,2022-09-19,사천시,문화관광,박물관과문화채널,(주)애니멀킹덤
86,거창 항노화힐링랜드,경상남도 거창군 가조면 의상봉길 834,35.73670966,128.0409044,055-943-3423,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030109,2022-09-13,거창군,자연관광,자연공원,거창군 산림과
87,거창 감악산 항노화 웰니스체험장,경상남도 거창군 신원면 연수사길 456,35.59012356,127.9199413,055-940-3390,,2022-09-13,거창군,자연관광,생태관광,거창군 산림과
88,산청 황매산 미리내파크,경상남도 산청군 차황면 황매산로1202번길 210,35.48644521,127.9689332,055-970-7223,,2022-09-13,산청군,문화관광,문화체험장,산청군
89,양산 오슬로파크,경상남도 양산시 물금읍 범구로 14 (양산 유림노르웨이숲),35.32680029,129.0111518,055-367-0555,,2022-09-13,양산시,문화관광,문화체험장,오슬로파크
90,통영 서피랑마을,경남 통영시 명정동 305-13,34.84676337,128.4163994,055-650-0553,,2022-09-13,통영시,문화관광,문화체험장,통영시
91,통영 이순신공원,경상남도 통영시 멘데해안길 205 (정량동),34.84428955,128.4422953,055-642-4737,,2022-09-13,통영시,문화관광,공원과유원지,통영시
92,통영 동피랑 벽화마을,경상남도 통영시 동피랑1길 6-18 (동호동),34.84530746,128.4276242,055-650-0553,,2022-09-13,통영시,문화관광,문화체험장,통영시
93,통영 디피랑,경상남도 통영시 남망공원길 29 (동호동),34.84232394,128.4286308,055-1544-3303,,2022-09-13,통영시,문화관광,문화체험장,통영관광개발공사
94,거제 매미성,경상남도 거제시 장목면 복항길 29,34.96807421,128.7051334,055-639-4176,,2022-09-08,거제시,자연관광,섬과바다,거제시
95,창녕 남지철교,경남 창녕군 남지읍 남지리 961,35.38636647,128.4754405,055-530-1471,,2022-09-08,창녕군,문화관광,기념물,창녕군
96,사천 비토섬,경남 사천시 서포면 비토리 328,34.98456521,127.9663995,055-831-2727,https://toursacheon.net/index.php?mid=island_tour&document_srl=996,2022-09-08,사천시,자연관광,섬과바다,사천시
97,김해 천문대,경상남도 김해시 가야테마길 254 (어방동),35.25306424,128.887298,055-330-4448,http://ghast.or.kr/,2022-09-08,김해시,문화관광,박물관과문화채널,김해시
98,합천 황매산군립공원,경남 합천군 가회면 둔내리 산 219-26,35.48698442,127.9856823,055-930-4757,http://www.hwangmaesan.kr,2022-09-08,합천군,자연관광,산과계곡,합천군 산림과
99,창원 대산면 동부마을 팽나무,경남 창원시 의창구 대산면 북부리 102-1,35.34768153,128.7215329,055-225-3701,,2022-09-08,창원시,자연관광,생태관광,창원시
100,하동 하덕마을 섬등 골목길 갤러리,경상남도 하동군 악양면 입석길 39-12,35.15858781,127.6971691,055-880-2377,,2022-09-02,하동군,문화관광,문화체험장,하동군
101,창녕생태곤충원,경상남도 창녕군 대합면 우포2로 333,35.56554842,128.4179736,055-530-7411,,2022-09-02,창녕군,자연관광,생태관광,창녕군청 생태관광과
102,김해 한글박물관,경상남도 김해시 분성로 221,35.23137204,128.8704559,080-380-1009,,2022-09-01,김해시,문화관광,박물관과문화채널,김해시
103,하동 동정호 생태습지원,경남 하동군 악양면 평사리 305-2,35.14613217,127.6868236,055-880-2577,,2021-04-07,하동군,자연관광,생태관광,하동군
104,하동 탄소없는마을,경상남도 하동군 화개면 화개로 1425,35.28894521,127.6468076,055-880-2578,,2021-04-07,하동군,자연관광,생태관광,하동군 환경보호과
105,하동군 지리산생태과학관,경상남도 하동군 악양면 섬진강대로 3358-30,35.15066116,127.6756445,055-884-3026,http://jirisanesm.or.kr/main/main.php,2021-04-05,하동군,자연관광,생태관광,하동군 환경보호과
106,창녕 우포늪생태관,경상남도 창녕군 유어면 우포늪길 220,35.54456088,128.4191195,055-530-1553,https://www.cng.go.kr/tour/ecocenter/00001085.web,2021-03-23,창녕군,자연관광,생태관광,창녕군 우포생태따오기과
107,창녕 우포늪생태체험장,경상남도 창녕군 대합면 우포2로 370,35.56595324,128.4212409,055-530-2126,https://www.cng.go.kr/tour/upo-park.web,2021-03-23,창녕군,자연관광,생태관광,창녕군 우포생태따오기과
108,창녕 우포생태촌유스호스텔,경상남도 창녕군 이방면 우포2로 330,35.56494484,128.4171031,055-532-5500,https://upovill.cng.go.kr/html/main/,2021-03-23,창녕군,레저관광,캠프장과수련시설,창녕군
109,남해 앵강만,경상남도 남해군 이동면 성남로 99,34.77896818,127.9511102,055-862-8677,,2021-03-23,남해군,자연관광,생태관광,"남해군 환경녹지과, 문화관광과"
110,정양늪,경상남도 합천군 대양면 대야로 730,35.55322648,128.1627754,055-930-3341,https://www.hc.go.kr/jungyang.web,2021-03-23,합천군,자연관광,생태관광,합천군 환경위생과
111,밀양 사자평습지 재약산,경상남도 밀양시 단장면 시전2길 10,35.53203003,128.9441414,055-357-5007,http://www.jaeyak.kr/nmprogram/web/201000000.php,2021-03-23,밀양시,자연관광,생태관광,밀양시 환경관리과
112,주남저수지,경상남도 창원시 의창구 동읍 주남로101번길 26,35.30733001,128.6779304,055-225-3481,https://www.changwon.go.kr/depart/contents.do?mId=0315010000,2021-03-23,창원시,자연관광,생태관광,창원시 푸른도시사업소 주남저수지과
113,화포천습지생태공원,경상남도 김해시 한림면 한림로 183-300,35.31097223,128.7887804,055-342-9834,https://www.gimhae.go.kr/hwapo.web,2021-03-23,김해시,자연관광,생태관광,김해시
114,고성생태학습관,경상남도 고성군 고성읍 동해로 121,34.98471124,128.3452116,055-670-4407,https://visit.goseong.go.kr/board/list.goseong,2021-03-23,고성군,자연관광,생태관광,고성군 상하수도사업소
115,통영 욕지섬 모노레일,경상남도 통영시 욕지면 욕지일주로 1467,34.62919416,128.2636405,055-648-9861,http://yokjido.ttdc.kr/main/main.php,2020-07-03,통영시,레저관광,레프팅과활동,통영관광개발공사
116,함양 남계서원,경상남도 함양군 수동면 남계서원길 8-11,35.54890238,127.7836825,055-962-9785,https://www.hygn.go.kr/01236/01260/01340.web,2020-07-03,함양군,문화관광,사찰과건축물 ,함양군
117,거제식물원 정글돔,경상남도 거제시 거제면 거제남서로 3595,34.85678793,128.5781245,055-639-6991,http://www.geoje.go.kr/gbg/index.geoje,2020-07-03,거제시,자연관광,자연공원,거제시
118,창원국제사격장,경남 창원시 의창구 퇴촌동 441-1,35.25131422,128.6839922,055-712-0725,https://www.cwsisul.or.kr/sub_sisul_main.html?code=01_10&Radd=01_10,2020-06-26,창원시,레저관광,종합레포츠시설,창원시설공단
119,거제 어드벤처 패러글라이딩,경남 거제시 거제면 서정리 169,34.85824875,128.5981195,,http://www.yspara.com/,2020-06-02,거제시,레저관광,레프팅과활동,거제패러글라이딩협회
120,창원 경남도립미술관,경상남도 창원시 의창구 용지로 296 (퇴촌동),35.23946357,128.6908566,055-254-4600,http://www.gyeongnam.go.kr/gam,2020-05-22,창원시,문화관광,박물관과문화채널,경남도립미술관
121,양산 한국 궁중 꽃 박물관,경상남도 양산시 매곡외산로 232 (매곡동),35.36667027,129.1758003,055-362-3661,http://www.royalsilkflower.co.kr,2020-05-22,양산시,문화관광,박물관과문화채널,(재)수로문화재단
122,김해가야테마파크 더블익스트림,경상남도 김해시 가야테마길 161 (어방동),35.25163556,128.8937475,055-340-7900,https://www.gaya-park.com/index.do?device=,2019-07-10,김해시,레저관광,종합레포츠시설,김해가야테마파크
123,트윈터널,경상남도 밀양시 삼랑진로 537-11,35.40879,128.8028,055-802-8828,http://museum.miryang.go.kr,2017-12-13,밀양시,문화관광,다리와도로,트윈터널
124,밀양 한천박물관,경상남도 밀양시 산내면 봉의로 58-31,35.5917,128.8809,055-354-2100,,2017-12-13,밀양시,문화관광,박물관과문화채널,밀양한천박물관
125,경상남도 민물고기전시관,경남 밀양시 산외면 산외남로 28-27,35.49739,128.7974,055-254-3451,,2017-12-13,밀양시,문화관광,박물관과문화채널,경상남도 수산자원연구소 민물고기연구센터
126,김영삼대통령생가기록전시관,거제시 장목면 옥포대첩로 743,34.9314,128.7155,055-639-8290,http://www.kysarchives.or.kr/,2017-11-29,거제시,문화관광,박물관과문화채널,김영삼대통령기록전시관
127,거제 칠천량해전공원,경상남도 거제시 하청면 칠천로 265-39,34.97766166,128.6282474,055-639-8250,https://www.gmdc.co.kr/_chilcheonryang/,2017-11-29,거제시,문화관광,공원과유원지,거제해양관광개발공사
128,청마생가 기념관,거제시 하청면 거제북로 700,34.85476,128.5176,055-637-0067,http://www.maengjongjuk.co.kr/xe/,2017-11-29,거제시,문화관광,박물관과문화채널,거제시 관광과
129,거제 맹종죽테마파크,경상남도 거제시 하청면 거제북로 700,34.96770693,128.6505098,055-637-0067,http://www.maengjongjuk.co.kr/,2017-11-29,거제시,문화관광,공원과유원지,거제맹종죽영농조합
130,거제알로에테마파크,거제시 거제면 거제남서로 3937,34.8662,128.5821,055-632-9907,http://aloepark.co.kr/,2017-11-29,거제시,문화관광,박물관과문화채널,거제시 관광과
131,산방산비원,거제시 둔덕면 산방산길 153,34.86015058,128.5258144,055-633-1221,http://www.beeone.co.kr/mobile/,2017-11-29,거제시,문화관광,공원과유원지,거제시 농업정책과
132,거가대교,경상남도 거제시 장목면 유호리,35.01748,128.7288,055-639-4173,,2017-11-29,거제시,문화관광,다리와도로,거제시 관광과
133,연꽃테마파크,함안연꽃테마파크(경상남도 함안군 가야읍 가야리 236-4),35.27946,128.3964,055-580-4581,,2017-11-29,함안군,자연관광,자연공원,함안군 산림녹지과
134,악양생태공원,경상남도 함안군 대산면 하기2길 208-49,35.34051368,128.3978884,055-580-3434,https://www.haman.go.kr/04198/04205.web?amode=view&idx=635,2017-11-29,함안군,자연관광,생태관광,함안군 공원관리사업소
135,애국지사 산돌 손양원목사 기념관,경남 함안군 칠원읍 덕산4길 39,,,055-587-7770,,2017-11-29,함안군,문화관광,박물관과문화채널,함안군 행복나눔과
136,함안승마공원,경남 함안군 가야읍 봉수로 508,35.25306,128.391,055-580-4351,http://hamanrh.haman.go.kr,2017-11-29,함안군,레저관광,종합레포츠시설,함안승마공원
137,악양둑방길,경남 함안군 법수면 악양길 32,35.33513,128.3986,055-580-2114,,2017-11-29,함안군,자연관광,자연공원,함안군
138,비토국민여가캠핑장,경남 사천시 서포면 비토리 산 40,34.96562,127.9824,055-831-2727,,2017-11-28,사천시,레저관광,종합레포츠시설,사천시청 문화관광과
139,봉암수원지,경상남도 창원시 마산회원구 봉암북14길 18,35.22977,128.608,055-225-3701,http://culture.changwon.go.kr,2017-11-27,창원시,문화관광,공원과유원지,창원시
140,진해루,경상남도 창원시 진해구 진희로 150,,,055-225-3701,http://culture.changwon.go.kr,2017-11-27,창원시,문화관광,공원과유원지,창원시
141,봉암갯벌체험장,경상남도 창원시 마산회원구 봉암동 20-5,,,055-251-0887,http://bongamtf.com,2017-11-27,창원시,자연관광,생태관광,창원시
142,진해드림파크,경상남도 창원시 진해구 천자로 507 (풍호동),35.13536498,128.7180943,055-548-2687,http://dreampark.changwon.go.kr/,2017-11-27,창원시,문화관광,박물관과문화채널,창원시
143,주기철목사기념관,경상남도 창원시 진해구 웅천동로 174,,,055-545-0330,http://culture.changwon.go.kr,2017-11-27,창원시,문화관광,박물관과문화채널,창원시
144,창원 마금산온천,경상남도 창원시 의창구 북면 천주로 1167,35.35464928,128.6094156,055-298-4400,http://culture.changwon.go.kr,2017-11-27,창원시,자연관광,온천과동굴,창원시
145,창원의집,경상남도 창원시 의창구 사림로16번길 59,35.24437,128.6816,055-714-7644,http://history.changwon.go.kr:8080,2017-11-27,창원시,문화관광,문화체험장,창원시
146,창원단감테마공원,경상남도 창원시 의창구 동읍 동읍로359번길 27,35.30023,128.6634,055-225-5585,http://culture.changwon.go.kr/dangam/index.do,2017-11-27,창원시,문화관광,박물관과문화채널,창원시
147,시티세븐몰,경상남도 창원시 의창구 원이대로 320,35.23966684,128.6544087,055-600-5100,http://www.city7mall.com/,2017-11-27,창원시,문화관광,박물관과문화채널,더시티세븐관리센터
148,창원 해양드라마세트장,경남 창원시 마산합포구 구산면 석곡리 772-1,35.11110542,128.5438282,055-248-3711,http://culture.changwon.go.kr,2017-11-27,창원시,문화관광,촬영지,창원시
