"번호","개방서비스명","개방서비스ID","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","한실수","양실수","욕실수","발한실여부","좌석수","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","세탁기수","여성종사자수","남성종사자수","회수건조수","침대수","다중이용업소여부",""
"11","숙박업","03_11_03_P","5310000","5310000-201-1973-00010","19730612","","01","영업/정상","01","영업","","","","","055 7527878","170","660250","경상남도 진주시 강남동 245-201","경상남도 진주시 진주대로891번길 11-3 (강남동)","52710","금호여관","20210723115212","U","2021-07-25","여관업","128.089245633663","35.1796015462491","여관업","0","0","0","0","0","0","2","6","0","N","0","","","","","0","","","0","0","N","4817051500"
"12","숙박업","03_11_03_P","5310000","5310000-201-1996-00006","19960822","","01","영업/정상","01","영업","","","","","055 7583467","427","660903","경상남도 진주시 상평동 191-7","경상남도 진주시 대신로115번길 14 (상평동)","52813","오션모텔","20220520104733","U","2022-05-22","여관업","128.116642711305","35.1707871754125","여관업","0","0","0","0","0","0","5","14","0","N","0","","","","","0","0","0","0","0","N","4817068000"
"13","숙박업","03_11_03_P","5310000","5310000-201-1980-00006","19800821","","01","영업/정상","01","영업","","","","","055 762 3801","109","660250","경상남도 진주시 강남동 245-97","경상남도 진주시 진주대로891번길 13 (강남동)","52710","화송장여관","20210528100156","U","2021-05-30","여관업","128.089306469298","35.179775761445","여관업","0","0","0","0","0","0","3","5","0","N","0","","","","","0","","","0","0","N","4817051500"
"14","숙박업","03_11_03_P","5310000","5310000-201-1995-00008","19950524","","01","영업/정상","01","영업","","","","","055 7546666","458","660903","경상남도 진주시 상평동 246-5","경상남도 진주시 돗골로9번길 15 (상평동)","52814","하이트모텔","20211118144532","U","2021-11-20","여관업","128.111102976491","35.1688011805243","여관업","0","0","0","0","0","0","3","15","0","N","0","","","","","0","0","0","0","0","N","4817068000"
"15","숙박업","03_11_03_P","5310000","5310000-201-1995-00002","19951128","","01","영업/정상","01","영업","","","","","055 7570717","393","660988","경상남도 진주시 칠암동 510-13","경상남도 진주시 진주대로920번길 5-3 (칠암동)","52724","비비모텔","20220621112000","U","2022-06-23","여관업","128.089827454995","35.1827677206118","여관업","0","0","0","0","0","0","7","9","0","N","0","","","","","0","0","0","0","0","N","4817051500"
"16","숙박업","03_11_03_P","5310000","5310000-201-1996-00004","19960206","","01","영업/정상","01","영업","","","","","055 7591082","398","660902","경상남도 진주시 상평동 319-18","경상남도 진주시 남강로1259번길 5 (상평동)","52801","샤인빌모텔","20220613131408","U","2022-06-16","여관업","128.126854076026","35.1735842420215","여관업","0","0","0","0","0","0","5","10","0","N","0","","","","","0","0","0","0","0","N","4817068000"
"17","숙박업","03_11_03_P","5310000","5310000-201-2000-00012","20000817","","01","영업/정상","01","영업","","","","","055741 9567","594","660040","경상남도 진주시 봉곡동 25-19","경상남도 진주시 북장대로60번길 19 (봉곡동)","52663","헤라모텔","20220325160231","U","2022-03-27","여관업","128.075371667213","35.1959563527814","여관업","0","0","0","0","0","0","6","14","0","N","0","","","","","0","0","0","0","0","N","4817055500"
"18","숙박업","03_11_03_P","5310000","5310000-201-1973-00009","19730609","","01","영업/정상","01","영업","","","","","055 752 5075","356","660290","경상남도 진주시 주약동 183-5 번지","경상남도 진주시 진주대로 873-1 (주약동,번지)","52716","와우모텔","20220117102918","U","2022-01-19","여관업","128.091077190624","35.178314855643","여관업","0","0","0","0","0","0","6","7","0","N","0","","","","","0","0","0","0","0","N","4817051500"
"19","숙박업","03_11_03_P","5310000","5310000-201-2003-00008","20030421","","01","영업/정상","01","영업","","","","","055 7413321","0","660170","경상남도 진주시 장대동 133-17","경상남도 진주시 진양호로564번길 12-7 (장대동)","52758","장미빛모텔","20220512095701","U","2022-05-14","여관업","128.087162361775","35.1930089972439","여관업","0","0","0","0","0","0","2","13","0","N","0","","","","","0","0","0","0","0","N","4817056500"
"20","숙박업","03_11_03_P","5310000","5310000-201-1993-00001","19930727","","01","영업/정상","01","영업","","","","","055 7559697","338","660902","경상남도 진주시 상평동 309-16","경상남도 진주시 남강로 1207 (상평동)","52812","플로라모텔","20211117101815","U","2021-11-19","여관업","128.12358071037","35.1704197274619","여관업","0","0","0","0","0","0","6","8","0","N","0","","","","","0","0","0","0","0","N","4817068000"
"21","숙박업","03_11_03_P","5310000","5310000-201-1993-00005","19931124","","01","영업/정상","01","영업","","","","","055 7585719","513","660903","경상남도 진주시 상평동 165-7","경상남도 진주시 대신로115번길 8 (상평동)","52813","헤라모텔","20210805093754","U","2021-08-07","여관업","128.117336388621","35.170744455969","여관업","0","0","0","0","0","0","8","11","0","N","0","","","","","0","0","0","0","0","N","4817068000"
"22","숙박업","03_11_03_P","5310000","5310000-201-1995-00003","19950109","","01","영업/정상","01","영업","","","","","055 7459638","392","660040","경상남도 진주시 봉곡동 489-2","경상남도 진주시 창렬로65번길 5 (봉곡동)","52665","운당모텔","20210628115518","U","2021-06-30","여관업","128.068827804543","35.1939824885725","여관업","0","0","0","0","0","0","2","12","0","N","0","","","","","0","","","0","0","N","4817055500"
"23","숙박업","03_11_03_P","5310000","5310000-201-1994-00009","19940816","","01","영업/정상","01","영업","","","","","055 7471188","846","660991","경상남도 진주시 평거동 138-12","경상남도 진주시 순환로559번길 10-4 (평거동)","52678","TOMGI MOTEL(톰지 모텔)","20210707105122","U","2021-07-09","여관업","128.05865994432","35.1738504264421","여관업","0","0","0","0","0","0","3","25","0","N","0","","","","","0","0","0","0","0","N","4817071000"
"24","숙박업","03_11_03_P","5310000","5310000-201-2004-00018","20041231","","01","영업/정상","01","영업","","","","","055 745 0480","844","660040","경상남도 진주시 봉곡동 5-1","경상남도 진주시 진주대로1133번길 8 (봉곡동)","52682","비바체모텔","20211220152032","U","2021-12-22","여관업","128.079045346094","35.1956840152853","여관업","6","0","2","5","0","0","2","22","0","N","0","","","","자가","0","0","0","0","0","N","4817055500"
"25","숙박업","03_11_03_P","5310000","5310000-201-2004-00014","20040916","","01","영업/정상","01","영업","","","","","055 7556678","1436","660803","경상남도 진주시 상대동 192-3번지","경상남도 진주시 대신로300번길 8 (상대동)","52775","맨하탄모텔","20180824134208","I","2018-08-31","여관업","128.117919097352","35.1870163525742","여관업","0","0","1","7","0","0","1","37","0","N","0","","","","자가","0","","","0","0","N","4817067300"
"26","숙박업","03_11_03_P","5310000","5310000-201-1992-00006","19921202","","01","영업/정상","01","영업","","","","","055 7431582","384","660170","경상남도 진주시 장대동 95-16","경상남도 진주시 장대로6번길 10-1 (장대동)","52757","녹산궁전여관","20210805093946","U","2021-08-07","여관업","128.089755028696","35.1918474410028","여관업","0","0","0","0","0","0","6","9","0","N","0","","","","","0","0","0","0","0","N","4817056500"
"27","숙박업","03_11_03_P","5310000","5310000-201-1996-00005","19960316","","01","영업/정상","01","영업","","","","","055 7478112","391","660240","경상남도 진주시 계동 104-2","경상남도 진주시 비봉로54번길 4 (계동)","52683","하이츠여관","20210805095305","U","2021-08-07","여관업","128.080587372704","35.195370040881","여관업","0","0","0","0","0","0","5","12","0","N","0","","","","","0","0","0","0","0","N","4817055500"
"28","숙박업","03_11_03_P","5310000","5310000-201-1971-00003","19710729","","01","영업/정상","01","영업","","","","","055 7413965","69","660170","경상남도 진주시 장대동 94-28","경상남도 진주시 장대로6번길 5-1 (장대동)","52757","삼성여관","20220613101157","U","2022-06-16","여관업","128.089398223276","35.1920629977162","여관업","0","0","0","0","0","0","4","7","0","N","0","","","","","0","0","0","0","0","N","4817056500"
"29","숙박업","03_11_03_P","5310000","5310000-201-1985-00028","19851231","","01","영업/정상","01","영업","","","","","055 7418969","373","660150","경상남도 진주시 동성동 4-26","경상남도 진주시 진주대로1032번길 5-7 (동성동)","52758","돈암장여관","20211206133523","U","2021-12-08","여관업","128.085586821325","35.1923418396928","여관업","0","0","0","0","0","0","7","9","0","N","0","","","","","0","0","0","0","0","N","4817056500"
"30","숙박업","03_11_03_P","5310000","5310000-201-2020-00002","20200413","","01","영업/정상","01","영업","","","","","","512","660903","경상남도 진주시 상평동 206-20","경상남도 진주시 돗골로20번길 11 (상평동)","52813","호텔보보","20210917144647","U","2021-09-19","일반호텔","128.114016640855","35.1700103713627","일반호텔","0","0","0","0","0","0","0","17","0","N","0","","","","","0","0","0","0","0","N","4817068000"
"31","숙박업","03_11_03_P","5310000","5310000-201-2020-00003","20200515","","01","영업/정상","01","영업","","","","","055 795 0114","2801","660822","경상남도 진주시 정촌면 예하리 1298-4 1~3층","경상남도 진주시 정촌면 화개천로54번길 33-16, 1~3층","52845","호텔로그인","20220517092435","U","2022-05-19","일반호텔","128.102349786016","35.1237978855599","일반호텔","0","0","0","0","0","0","0","28","0","N","0","","","","","0","0","0","0","0","N","4817032000"
"32","숙박업","03_11_03_P","5310000","5310000-214-2021-00001","20211108","","01","영업/정상","01","영업","","","","","","510","660031","경상남도 진주시 충무공동 40-5 라온스테이인페를라1차","경상남도 진주시 영천강로 164, 라온스테이인페를라1차 3~14층 일부호 (충무공동)","52851","주식회사 라온스테이인페를라","20211216164521","U","2021-12-18","숙박업(생활)","128.139551427965","35.1781158647626","숙박업(생활)","14","4","3","14","0","0","0","32","0","N","0","총32객실","","","","0","0","0","0","0","N","4817075000"
"33","숙박업","03_11_03_P","5310000","5310000-201-2001-00006","20010627","","01","영업/정상","01","영업","","","","","055 7437067","657","660040","경상남도 진주시 봉곡동 110","경상남도 진주시 비봉로53번길 15 (봉곡동)","52682","드림모텔","20210723115540","U","2021-07-25","여관업","128.07876666775","35.1948113357723","여관업","0","0","0","0","0","0","5","14","0","N","0","","","","","0","","","0","0","N","4817055500"
"34","숙박업","03_11_03_P","5310000","5310000-201-1990-00002","19901217","","01","영업/정상","01","영업","","","","","055 745 6131","288","660240","경상남도 진주시 계동 102-2","경상남도 진주시 비봉로50번길 3 (계동)","52683","더퍼스트","20220304100306","U","2022-03-10","여관업","128.080623904531","35.1952184767059","여관업","0","0","0","0","0","0","6","8","0","N","0","","","","","0","0","0","0","0","N","4817055500"
"35","숙박업","03_11_03_P","5310000","5310000-201-1998-00018","19980217","","01","영업/정상","01","영업","","","","","055 7626617","494","660803","경상남도 진주시 상대동 192-1","경상남도 진주시 모덕로222번길 18 (상대동)","52775","뉴그린모텔여관","20220502102958","U","2022-05-04","여관업","128.118193044539","35.1871227000586","여관업","5","1","0","4","0","1","3","15","0","N","0","","","","임대","0","0","0","0","0","N","4817067300"
"36","숙박업","03_11_03_P","5310000","5310000-201-1970-00002","19700820","","01","영업/정상","01","영업","","","","","055 752 4284","147","660250","경상남도 진주시 강남동 245-5","경상남도 진주시 진주대로891번길 41 (강남동)","52710","진양장여관","20201214102102","U","2020-12-16","여관업","128.088061464278","35.1821461996321","여관업","0","0","0","0","0","0","5","8","0","N","0","","","","","0","","","0","0","N","4817051500"
"37","숙박업","03_11_03_P","5310000","5310000-201-1995-00014","19951005","","01","영업/정상","01","영업","","","","","055 7613930","448","660902","경상남도 진주시 상평동 308-2","경상남도 진주시 남강로 1193-4 (상평동)","52812","Q(큐)모텔","20211028094152","U","2021-10-30","여관업","128.122373534483","35.1700690479016","여관업","0","0","0","0","0","0","7","12","0","N","0","","","","","0","0","0","0","0","N","4817068000"
"38","숙박업","03_11_03_P","5310000","5310000-201-1973-00013","19731101","","01","영업/정상","01","영업","","","","","055 7521437","212","660250","경상남도 진주시 강남동 240-16","경상남도 진주시 진주대로891번길 9-8 (강남동)","52710","청송장여관","20220520103244","U","2022-05-22","여관업","128.089545332604","35.1792731200832","여관업","0","0","0","0","0","0","0","10","0","N","0","","","","","0","0","0","0","0","N","4817051500"
"39","숙박업","03_11_03_P","5310000","5310000-201-1998-00008","19980221","","01","영업/정상","01","영업","","","","","","1401","660040","경상남도 진주시 봉곡동 84 지하1층일부, 1~5층, 6층일부","경상남도 진주시 비봉로53번길 3 (봉곡동, 지하1층일부, 1~5층, 6층일부)","52682","엘리펀트샤워","20220414152752","U","2022-04-16","숙박업 기타","128.079938614504","35.1951656454896","숙박업 기타","0","0","0","0","0","0","0","31","0","N","0","","","","자가","0","0","0","0","0","N","4817055500"
"40","숙박업","03_11_03_P","5310000","5310000-201-2008-00002","20081106","","01","영업/정상","01","영업","","","","","055 745 0071","982","660040","경상남도 진주시 봉곡동 475-31 주건축물제1동 1층,2층,3층,4층,5층","경상남도 진주시 진주대로 1200 (봉곡동, 주건축물제1동 1층,2층,3층,4층,5층)","52664","B&W모텔","20220627102744","U","2022-06-29","숙박업 기타","128.071950630783","35.1946423062358","숙박업 기타","4","0","1","4","0","0","2","28","0","N","0","","","","자가","0","0","0","0","0","N","4817055500"
"41","숙박업","03_11_03_P","5310000","5310000-201-1997-00008","19971231","","01","영업/정상","01","영업","","","","","055 7459336","1197","660040","경상남도 진주시 봉곡동 2-3","경상남도 진주시 진주대로1134번길 6 (봉곡동)","52749","아이스크림","20220511171643","U","2022-05-13","숙박업 기타","128.078963236039","35.1966403053855","숙박업 기타","0","0","1","5","0","0","0","29","0","N","0","","","","","0","0","0","0","0","N","4817055500"
"42","숙박업","03_11_03_P","5310000","5310000-201-1997-00005","19971017","","01","영업/정상","01","영업","","","","","055 7625400","679","660802","경상남도 진주시 상대동 330-60","경상남도 진주시 도동천로 182 (상대동)","52776","로망스모텔","20211201141011","U","2021-12-03","여관업","128.117799734127","35.1851386995024","여관업","0","0","0","0","0","0","5","16","0","N","0","","","","","0","0","0","0","0","N","4817067300"
"43","숙박업","03_11_03_P","5310000","5310000-201-1988-00002","19880510","","01","영업/정상","01","영업","","","","","055 7436833","261","660980","경상남도 진주시 옥봉동 808-5","경상남도 진주시 남강로726번길 6-13 (옥봉동)","52759","화림장여관","20211110135658","U","2021-11-12","여관업","128.090410864539","35.1909137392142","여관업","4","0","2","3","0","0","9","3","0","N","0","","","","","0","0","0","0","0","N","4817056500"
"44","숙박업","03_11_03_P","5310000","5310000-201-2001-00001","20011011","","01","영업/정상","01","영업","","","","","055 741 4847","236","660160","경상남도 진주시 본성동 18-12","경상남도 진주시 남강로625번길 4 (본성동)","52690","대성장","20210723115504","U","2021-07-25","여관업","128.080088159298","35.1908108500205","여관업","0","0","0","0","0","0","5","6","0","N","0","","","","","0","","","0","0","N","4817055500"
"45","숙박업","03_11_03_P","5310000","5310000-201-1985-00014","19850712","","01","영업/정상","01","영업","","","","","055 7427057","250","660160","경상남도 진주시 본성동 13-12","경상남도 진주시 남강로633번길 8-1 (본성동)","52690","손길","20210218111210","U","2021-02-20","여관업","128.080912264246","35.1913334614794","여관업","0","0","0","0","0","0","5","6","0","N","0","","","","","0","","","0","0","N","4817055500"
"46","숙박업","03_11_03_P","5310000","5310000-201-1975-00003","19751101","","01","영업/정상","01","영업","","","","","055 7419405","111","660170","경상남도 진주시 장대동 91-16","경상남도 진주시 장대로16번길 5 (장대동)","52757","동원여관","20211227100716","U","2021-12-29","여관업","128.089443340749","35.1929752478015","여관업","0","0","0","0","0","0","7","8","0","N","0","","","","","0","0","0","0","0","N","4817056500"
"47","숙박업","03_11_03_P","5310000","5310000-201-1999-00010","19990916","","01","영업/정상","01","영업","","","","","055 7551030","366","660802","경상남도 진주시 상대동 330-78","경상남도 진주시 상대로 57-2 (상대동)","52776","더온모텔","20220317145837","U","2022-03-19","여관업","128.118377809947","35.1846144852109","여관업","0","0","0","0","0","0","5","12","0","N","0","","","","","0","0","0","0","0","N","4817067300"
"48","숙박업","03_11_03_P","5310000","5310000-201-1973-00001","19730117","","01","영업/정상","01","영업","","","","","055 7413951","423","660150","경상남도 진주시 동성동 213-12","경상남도 진주시 논개길 41-1 (동성동)","52759","부원장여관","20220624173244","U","2022-06-26","여관업","128.086089509139","35.1909185054567","여관업","0","0","0","0","0","0","8","10","0","N","0","","","","","0","0","0","0","0","N","4817056500"
"49","숙박업","03_11_03_P","5310000","5310000-201-2012-00002","20121221","","01","영업/정상","01","영업","","","","","055 743 1114","1252","660240","경상남도 진주시 계동 118-1 1층~4층","경상남도 진주시 비봉로58번길 4 (계동, 1층~4층)","52683","호텔 얌 진주성점","20220412115725","U","2022-04-14","일반호텔","128.080471363472","35.1957716138537","일반호텔","0","1","4","0","1","0","0","24","0","N","0","","","","","0","0","0","0","0","N","4817055500"
"50","숙박업","03_11_03_P","5310000","5310000-201-1999-00013","19991012","","01","영업/정상","01","영업","","","","","055 7414888","652","660980","경상남도 진주시 옥봉동 808-18","경상남도 진주시 논개길 83 (옥봉동)","52759","롯데모텔","20220617095508","U","2022-06-19","여관업","128.090732728607","35.1907541946046","여관업","0","0","0","0","0","0","7","18","0","N","0","","","","","0","0","0","0","0","N","4817056500"
"51","숙박업","03_11_03_P","5310000","5310000-201-1986-00002","19860228","","01","영업/정상","01","영업","","","","","055 746 4587","169","660905","경상남도 진주시 신안동 26-16","경상남도 진주시 남강로 509 (신안동)","52694","민들레하우스","20220119145709","U","2022-01-21","여관업","128.074186162296","35.1835194504238","여관업","0","0","0","0","0","0","3","4","0","N","0","","","","","0","0","0","0","0","N","4817071500"
"52","숙박업","03_11_03_P","5310000","5310000-201-2018-00002","20180615","","01","영업/정상","01","영업","","","","","055 743 1806","997","660040","경상남도 진주시 봉곡동 7-6 1층~6층","경상남도 진주시 진주대로 1136, 1층~6층 (봉곡동)","52749","브라운도트 진주성점","20211012095611","U","2021-10-14","여관업","128.078503109701","35.196353014254","여관업","6","0","1","6","0","0","0","26","0","N","0","","","","임대","0","0","0","0","0","N","4817055500"
"53","숙박업","03_11_03_P","5310000","5310000-201-1971-00005","19710923","","01","영업/정상","01","영업","","","","","055 7455151","401","660170","경상남도 진주시 장대동 132-4","경상남도 진주시 진양호로564번길 12 (장대동)","52758","유명장여관","20220530094537","U","2022-06-04","여관업","128.087314623481","35.1932379122124","여관업","3","0","1","3","0","0","0","19","0","N","0","","","","","0","0","0","0","0","N","4817056500"
"54","숙박업","03_11_03_P","5310000","5310000-201-1983-00001","19830201","","01","영업/정상","01","영업","","","","","055 7414432","292","660905","경상남도 진주시 신안동 10-4","경상남도 진주시 진양호로 406 (신안동)","52693","부일장여관","20211201141418","U","2021-12-03","여관업","128.071333295167","35.1879309996995","여관업","0","0","0","0","0","0","5","9","0","N","0","","","","","0","0","0","0","0","N","4817071500"
"55","숙박업","03_11_03_P","5310000","5310000-201-1971-00007","19711109","","01","영업/정상","01","영업","","","","","055 748 1083","158","660170","경상남도 진주시 장대동 94-58번지","경상남도 진주시 장대로6번길 5 (장대동)","52757","이화장 여관","20180903082033","U","2018-09-03","여관업","128.089319167781","35.1920709193077","여관업","0","0","0","0","0","0","5","6","0","N","0","","","","","0","","","0","0","N","4817056500"
"56","숙박업","03_11_03_P","5310000","5310000-201-1995-00016","19951228","","01","영업/정상","01","영업","","","","","055 7416337","362","660951","경상남도 진주시 명석면 외율리 795","경상남도 진주시 명석면 진주대로 2552-3","52640","제이모텔","20211201140019","U","2021-12-03","여관업","127.994257125045","35.2793610776513","여관업","0","0","0","0","0","0","6","11","0","N","0","","","","","0","0","0","0","0","N","4817044000"
"57","숙박업","03_11_03_P","5310000","5310000-201-2004-00001","20040106","","01","영업/정상","01","영업","","","","","055 746 3601","1126","660020","경상남도 진주시 인사동 179-5","경상남도 진주시 진주대로 1229 (인사동)","52679","진주호텔","20211112165225","U","2021-11-14","숙박업 기타","128.069053730735","35.193317767174","숙박업 기타","0","0","0","0","0","0","0","30","0","N","0","","","","","0","0","0","0","0","N","4817055500"
"58","숙박업","03_11_03_P","5310000","5310000-201-1998-00009","19980221","","01","영업/정상","01","영업","","","","","055 7482238","806","660991","경상남도 진주시 평거동 138-3","경상남도 진주시 순환로573번길 7 (평거동)","52678","청용모텔","20210219104838","U","2021-02-21","여관업","128.058629694961","35.1741927362186","여관업","0","0","0","0","0","0","8","18","0","N","0","","","","","0","","","0","0","N","4817071000"
"59","숙박업","03_11_03_P","5310000","5310000-201-1998-00005","19980121","","01","영업/정상","01","영업","","","","","055 747 3363","617","660240","경상남도 진주시 계동 116-1","경상남도 진주시 비봉로54번길 3 (계동)","52683","아세아모텔여관","20210806100344","U","2021-08-08","여관업","128.080497468408","35.1956037391014","여관업","0","0","0","0","0","0","6","16","0","N","0","","","","","0","0","0","0","0","N","4817055500"
"60","숙박업","03_11_03_P","5310000","5310000-201-1985-00010","19850601","","01","영업/정상","01","영업","","","","","055 7531986","722","660987","경상남도 진주시 칠암동 486-3","경상남도 진주시 진주대로 872-10 (칠암동)","52726","그린모텔","20220616172712","U","2022-06-18","여관업","128.092502047724","35.1781735755611","여관업","0","0","0","0","0","0","11","14","0","N","0","","","","","0","0","0","0","0","N","4817051500"
"61","숙박업","03_11_03_P","5310000","5310000-201-1999-00012","19991012","","01","영업/정상","01","영업","","","","","055 7439791","652","660980","경상남도 진주시 옥봉동 808-3","경상남도 진주시 논개길 81-1 (옥봉동)","52759","현대모텔","20211223104958","U","2021-12-25","여관업","128.090588553901","35.1907692830356","여관업","0","0","0","0","0","0","7","18","0","N","0","","","","","0","0","0","0","0","N","4817056500"
"62","숙박업","03_11_03_P","5310000","5310000-201-1999-00007","19991220","","01","영업/정상","01","영업","","","","","055 755 7553","1483","660803","경상남도 진주시 상대동 179-1","경상남도 진주시 대신로 313 (상대동)","52774","진성파라곤모텔","20220616094225","U","2022-06-18","여관업","128.116564847629","35.1883862008008","여관업","0","0","0","0","0","0","12","18","0","N","0","","","","","0","0","0","0","0","N","4817067300"
"63","숙박업","03_11_03_P","5310000","5310000-201-1994-00015","19941010","","01","영업/정상","01","영업","","","","","055 7635454","575","660903","경상남도 진주시 상평동 240-17","경상남도 진주시 남강로1081번길 9 (상평동)","52814","EM(이엠)","20211210103625","U","2021-12-12","여관업","128.109954807459","35.1693219337985","여관업","0","0","0","0","0","0","8","15","0","N","0","","","","","0","0","0","0","0","N","4817068000"
"64","숙박업","03_11_03_P","5310000","5310000-201-2002-00004","20020408","","01","영업/정상","01","영업","","","","","055 7417772","1200","660992","경상남도 진주시 평거동 195-4","경상남도 진주시 진양호로 220 (평거동)","52701","호텔카리브","20220607095028","U","2022-06-09","여관업","128.060972738968","35.1737283416731","여관업","5","1","5","0","1","0","0","28","0","N","0","","","","","0","0","0","0","0","N","4817071000"
