"번호","개방서비스명","개방서비스ID","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",""
"1","외국인관광도시민박업","03_11_04_P","5310000","CDFI2262212018000002","20181214","","02","휴업","02","휴업","","20211130","20230201","","","","","경상남도 진주시 신안동 469-4","경상남도 진주시 신안들말길10번길 16-1, 2층 (신안동)","52695","회색벽돌집","20211221092621","U","2021-12-23","","128.070677460298","35.1792881688524","외국인관광 도시민박업","","일반주거지역","","주택가주변","","","단독주택","2","1","2","","gray brick house","City home-stay services for foreign tourists","","","","","","","","85","","","","","","","","","","","","","85","4817071500"
"2","외국인관광도시민박업","03_11_04_P","5310000","CDFI2262212014000001","20140820","","03","폐업","03","폐업","20181025","","","","","","660110","경상남도 진주시 평거동 1132번지 106동 702호","경상남도 진주시 새평거로 30, 106동 7층 702호 (평거동)","","Soyoung house","20181025160049","U","2018-10-27","","128.049864949575","35.1656079185314","외국인관광 도시민박업","","주거지역","","아파트지역","","","아파트","7","","","","Soyoung house","International tourism city stays","","","","","","","","67","","","","","","","","","","","","","67","4817073000"
"3","외국인관광도시민박업","03_11_04_P","5310000","CDFI2262212015000001","20150113","","03","폐업","03","폐업","20170817","","","","","","660987","경상남도 진주시 칠암동 122-5번지 2층","경상남도 진주시 동진로38번길 5-1, 2층 (칠암동)","","진주 추천 게스트하우스","20170818203848","I","2018-08-31","","128.095591297382","35.178530795343","외국인관광 도시민박업","","일반주거지역","","","","","","","","","","Jinju Chuchun GuestHouse","International tourism city stays","","","","","","","","101","","","","","","","","","","","","","101","4817051500"
"4","외국인관광도시민박업","03_11_04_P","5310000","CDFI2262212017000001","20170306","","03","폐업","03","폐업","20191113","","","","","","","경상남도 진주시 신안동 17-4","경상남도 진주시 남강로 545-5, 3~4층 (신안동)","52693","게스트하우스 남강","20200904155421","U","2020-09-06","","128.07419411948","35.1865683050119","외국인관광 도시민박업","","일반주거지역","4","","","","단독주택","4","","6","","Guest House Namgang","International tourism city stays","","","","","","","","228","","","","","","","","","","","","","228","4817071500"
"5","외국인관광도시민박업","03_11_04_P","5310000","CDFI2262212018000001","20181214","","03","폐업","03","폐업","20200525","","","","","","","경상남도 진주시 초전동 1669번지 진주 초장 엠코타운 더 이스턴파크 302동 1101호","경상남도 진주시 초북로 77, 302동 11층 1101호 (초전동, 진주 초장 엠코타운 더 이스턴파크)","52731","Caravansara(카라반사라)","20200525104212","U","2020-05-27","","128.107319062477","35.2135471515602","외국인관광 도시민박업","","일반주거지역","","아파트지역","","","아파트","","","2","","Caravansara","International tourism city stays","","","","","","","","74","","","","","","","","","","","","","74","4817069500"
"6","외국인관광도시민박업","03_11_04_P","5310000","CDFI2262212020000001","20200612","","01","영업/정상","13","영업중","","","","","055-763-7276","","","경상남도 진주시 망경동 161-9번지","경상남도 진주시 천수로 245-1 (망경동)","52705","문갤러리 게스트하우스","20200618102538","U","2020-06-20","","128.078981018005","35.1840345513655","외국인관광 도시민박업","","일반주거지역","","","","","단독주택","1","1","2","88","Moon gallery guest house","City home-stay services for foreign tourists","","","","","","","","88","","","","","","","","","","","","","88","4817051500"
"7","외국인관광도시민박업","03_11_04_P","5310000","CDFI2262212015000003","20150601","","01","영업/정상","13","영업중","","","","","","","660280","경상남도 진주시 칠암동 499-8번지","경상남도 진주시 강남로247번길 7-5 (칠암동)","","뭉클 진주게스트하우스2호","20200306133353","U","2020-03-08","","128.090662314351","35.1878760767792","외국인관광 도시민박업","","일반주거지역","","","","","단독주택","","","4","","","","","","","","","","","84","","","","","","","","","","","","","84","4817051500"
"8","외국인관광도시민박업","03_11_04_P","5310000","CDFI2262212015000004","20150916","","01","영업/정상","13","영업중","","","","","","","","경상남도 진주시 상대동 289-7번지 환희빌 402호","경상남도 진주시 모덕로64번길 9, 402호 (상대동, 환희빌)","","GuestH","20200306133818","U","2020-03-08","","128.104438977627","35.1811523519367","외국인관광 도시민박업","","일반주거지역","4","주택가주변","","","다가구용 주택(공동주택적용)","4","","2","","","","","","","","","","","123","","","","","","","","","","","","","123","4817067300"
"9","외국인관광도시민박업","03_11_04_P","5310000","CDFI2262212016000001","20160810","","01","영업/정상","13","영업중","","","","","055-743-8625","","","경상남도 진주시 신안동 20번지","경상남도 진주시 천수로 315, 107동 909호 (신안동, 현대아파트)","52694","진주마실","20200306133506","U","2020-03-08","","128.072279546427","35.1847878054358","외국인관광 도시민박업","","일반주거지역","","아파트지역","","","아파트","9","","1","85","Jinju masil","International tourism city stays","","","","","","","","","","","","","","","","","","","","","","4817071500"
"10","외국인관광도시민박업","03_11_04_P","5310000","CDFI2262212015000002","20150601","","01","영업/정상","13","영업중","","","","","","","660280","경상남도 진주시 칠암동 499-9번지","경상남도 진주시 강남로247번길 7-3 (칠암동)","","뭉클 진주게스트하우스1호","20200306133154","U","2020-03-08","","128.090443267034","35.1878581306833","외국인관광 도시민박업","","일반주거지역","","","","","단독주택","","","6","","","","","","","","","","","94","","","","","","","","","","","","","94","4817051500"
"11","외국인관광도시민박업","03_11_04_P","5310000","CDFI2262212017000002","20171221","","01","영업/정상","13","영업중","","","","","","","","경상남도 진주시 망경동 96-9번지","경상남도 진주시 망경북길 38, 3층 (망경동)","52707","루시다 게스트하우스","20171229110517","I","2018-08-31","","128.082763536377","35.1855863612455","외국인관광 도시민박업","","일반주거지역","","기타","","","단독주택","3","1","6","120","Lucida Guest house","International tourism city stays","","","","","","","","120","","","","","","","","","20000000","","","","120","4817051500"
"12","외국인관광도시민박업","03_11_04_P","5330000","CDFI2262212018000006","20181129","","02","휴업","02","휴업","","20211001","20241001","","","","","경상남도 통영시 도천동 281-12","경상남도 통영시 새미골1길 13-9, 2층 (도천동)","53067","프리미엄 게스트하우스","20211001185618","U","2021-10-03","","128.415210460769","34.8401250932141","외국인관광 도시민박업","","주거지역","2","","","","단독주택","2","1","","","","","","","","","","","","228","","","","","","","","","50000000","","","","228","4822051000"
"13","외국인관광도시민박업","03_11_04_P","5330000","CDFI2262212019000002","20190322","","02","휴업","02","휴업","","20220525","20230524","","","","","경상남도 통영시 도남동 225-22 루지게스트하우스민박","경상남도 통영시 넓은개길 47, 루지게스트하우스민박 (도남동)","53075","루지게스트하우스","20220511105238","U","2022-05-13","","128.429885933252","34.8276227978276","외국인관광 도시민박업","","일반주거지역","2","","","","단독주택","2","","3","","","","","","","","","","","58","","","","","","","","","200000000","","","","58","4822067000"
"14","외국인관광도시민박업","03_11_04_P","5330000","CDFI2262212019000003","20190527","","03","폐업","03","폐업","20190625","","","","","","","경상남도 통영시 미수동 354-14번지","경상남도 통영시 진남1길 16, 2층 (미수동)","53070","동백여관게스트하우스","20190625154043","U","2019-06-27","","128.408432720493","34.8334931424973","외국인관광 도시민박업","","일반주거지역","2","","","","근린생활시설","","","","","","","","","","","","","","54","","","","","","","","","","","","","54","4822066500"
"15","외국인관광도시민박업","03_11_04_P","5330000","CDFI2262212015000006","20150323","","03","폐업","03","폐업","20190716","","","","","","650130","경상남도 통영시 미수동 953-2번지","경상남도 통영시 진남2길 28 (미수동)","","훌훌게스트하우스","20190717132903","I","2019-07-19","","128.408224121938","34.8328942018966","외국인관광 도시민박업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4822066500"
"16","외국인관광도시민박업","03_11_04_P","5330000","CDFI2262212019000004","20190820","","03","폐업","03","폐업","20191202","","","","","","","경상남도 통영시 도천동 856-13번지","경상남도 통영시 백운서재2길 13 (도천동)","53065","반달이네 민박(Halfmoon guesthouse)","20191202172135","U","2019-12-04","","128.409031081769","34.8377715019882","외국인관광 도시민박업","","일반주거지역","3","","","","단독주택","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","4822051000"
"17","외국인관광도시민박업","03_11_04_P","5330000","CDFI2262212015000008","20150323","","03","폐업","03","폐업","20190716","","","","","","650130","경상남도 통영시 미수동 953-2","경상남도 통영시 진남2길 28 (미수동)","","훌훌게스트하우스","20211215131418","U","2021-12-17","","128.408224121938","34.8328942018966","외국인관광 도시민박업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","4822066500"
"18","외국인관광도시민박업","03_11_04_P","5330000","CDFI2262212015000010","20150624","","03","폐업","03","폐업","20190130","","","","","","650150","경상남도 통영시 도남동 225-22번지","경상남도 통영시 넓은개길 47 (도남동)","","루지게스트하우스","20191027175826","I","2019-10-29","","128.429885933252","34.8276227978276","외국인관광 도시민박업","","일반주거지역","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4822067000"
"19","외국인관광도시민박업","03_11_04_P","5330000","CDFI2262212016000005","20160428","","03","폐업","03","폐업","20190703","","","","","","","경상남도 통영시 도남동 198-18번지","경상남도 통영시 도남로 276 (도남동)","","동감 게스트하우스","20191027175614","I","2019-10-29","","128.43249280438","34.8269100136787","외국인관광 도시민박업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4822067000"
"20","외국인관광도시민박업","03_11_04_P","5330000","CDFI2262212014000002","20141104","","03","폐업","03","폐업","20180404","","","","055-646-0512","","650140","경상남도 통영시 봉평동 188-23번지","경상남도 통영시 봉수1길 6-1 (봉평동)","","봄날의집","20180405140632","I","2018-08-31","","128.415412222206","34.8263347466539","외국인관광 도시민박업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150000000","","","","","4822067000"
"21","외국인관광도시민박업","03_11_04_P","5330000","CDFI2262212015000003","20150624","","03","폐업","03","폐업","20190130","","","","","","","경상남도 통영시 도남동 225-22번지","경상남도 통영시 넓은개길 47 (도남동)","53075","루지게스트하우스","20190130124955","U","2019-02-01","","128.429885933252","34.8276227978276","외국인관광 도시민박업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4822067000"
"22","외국인관광도시민박업","03_11_04_P","5330000","CDFI2262212016000001","20160428","","03","폐업","03","폐업","20190703","","","","","","","경상남도 통영시 도남동 198-18번지","경상남도 통영시 도남로 276 (도남동)","53079","동감 게스트하우스","20190704085946","U","2019-07-06","","128.43249280438","34.8269100136787","외국인관광 도시민박업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4822067000"
"23","외국인관광도시민박업","03_11_04_P","5330000","CDFI2262212017000001","20170413","","03","폐업","03","폐업","20170726","","","","","","","경상남도 통영시 당동 227-14번지","경상남도 통영시 판데1길 15-12 (당동)","53065","게스트하우스D","20170727093355","I","2018-08-31","","128.407508851603","34.8354275991096","외국인관광 도시민박업","","일반주거지역","","","","","단독주택","","","","","","","","","","","","","","47","","","","","","","","","","","","","47","4822051000"
"24","외국인관광도시민박업","03_11_04_P","5330000","CDFI2262212015000007","20150224","","03","폐업","03","폐업","20200824","","","","055-648-8768","","650140","경상남도 통영시 봉평동 201-23","경상남도 통영시 봉수로 55 (봉평동)","","벚꽃엔젤","20200824152300","I","2020-08-26","","128.415953153175","34.8264879835031","외국인관광 도시민박업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","320000000","","","","","4822067000"
"25","외국인관광도시민박업","03_11_04_P","5330000","CDFI2262212013000001","20130419","","03","폐업","03","폐업","20130613","","","","070-8131-6405","","650140","경상남도 통영시 봉평동 82-16","경상남도 통영시 서송정1길 32-33 (봉평동)","","벨라게스트하우스","20130613162302","I","2021-08-20","","","","외국인관광 도시민박업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","350000000","","","","",""
"26","외국인관광도시민박업","03_11_04_P","5330000","CDFI2262212013000003","20130419","","03","폐업","03","폐업","20131120","","","","","","650140","경상남도 통영시 봉평동 22-3","경상남도 통영시 해평4길 64-5 (봉평동)","","하이버디 게스트하우스","20131120151433","I","2021-08-20","","128.418275781083","34.8335042268043","외국인관광 도시민박업","","일반주거지역","","","","","","","","","","","","","","","","","","","","","","","","","","","","200000000","","","","","4822067000"
"27","외국인관광도시민박업","03_11_04_P","5330000","CDFI2262212018000004","20181016","","03","폐업","03","폐업","20210524","","","","","","","경상남도 통영시 봉평동 302-5","경상남도 통영시 봉수2길 20-10, 1층 (봉평동)","53078","친구집","20210524144645","U","2021-05-26","","128.41427013947","34.8246409436127","외국인관광 도시민박업","","일반주거지역","2","","","","단독주택","1","","","","","","","","","","","","","75","","","","","","","","","","","","","75","4822067000"
"28","외국인관광도시민박업","03_11_04_P","5330000","CDFI2262212015000004","20150730","","03","폐업","03","폐업","20181012","","","","","","650150","경상남도 통영시 도남동 524-4번지","경상남도 통영시 데메2길 39-25 (도남동)","","CREW","20181016155301","I","2018-10-18","","128.420259106306","34.8274064238002","외국인관광 도시민박업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4822067000"
"29","외국인관광도시민박업","03_11_04_P","5330000","CDFI2262212018000005","20181105","","01","영업/정상","13","영업중","","","","","","","","경상남도 통영시 서호동 83-18번지","경상남도 통영시 가죽고랑4길 15 (서호동)","53062","가죽고랑 하우스","20181105131658","I","2018-11-07","","128.416939671246","34.8439963668301","외국인관광 도시민박업","","일반주거지역","2","","","","단독주택","2","","","","","","","","","","","","","136","","","","","","","","","15000000","","","","136","4822053000"
"30","외국인관광도시민박업","03_11_04_P","5330000","CDFI2262212015000005","20150116","","01","영업/정상","13","영업중","","","","","","","650140","경상남도 통영시 봉평동 82-16","경상남도 통영시 서송정1길 32-23 (봉평동)","","벨라 게스트하우스","20220126140807","U","2022-01-28","","128.420023588477","34.8314187490527","외국인관광 도시민박업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4822067000"
"31","외국인관광도시민박업","03_11_04_P","5330000","CDFI2262212019000001","20190225","","01","영업/정상","13","영업중","","","","","","","","경상남도 통영시 북신동 485-3번지","경상남도 통영시 평인일주로 1106-31 (북신동)","53058","소나무 게스트하우스","20190225130359","I","2019-02-27","","128.417665924243","34.8576293965904","외국인관광 도시민박업","","","2","","","","단독주택","2","","","","","","","","","","","","","","","","","","","","","","","","","","","4822060000"
"32","외국인관광도시민박업","03_11_04_P","5330000","CDFI2262212019000005","20190829","","01","영업/정상","13","영업중","","","","","","","","경상남도 통영시 도남동 515-174번지 푸센하우스 202호","경상남도 통영시 데메3길 14-9, 푸센하우스 202호 (도남동)","53076","Guest's Home","20190829144208","I","2019-08-31","","128.420846930008","34.8291113303153","외국인관광 도시민박업","","일반상업지역","4","주택가주변","","","다가구용 주택(공동주택적용)","4","","","","","","","","","","","","","63","","","","","","","","","","","","","63","4822067000"
"33","외국인관광도시민박업","03_11_04_P","5330000","CDFI2262212019000006","20191205","","01","영업/정상","13","영업중","","","","","","","","경상남도 통영시 미수동 299-13번지","경상남도 통영시 미수해안로 84, 3층 (미수동)","53070","통영바다뷰 게스트하우스(BADAVIEW)","20191205173458","I","2019-12-07","","128.407630483783","34.8328634887888","외국인관광 도시민박업","","일반주거지역","4","기타","","","단독주택","4","","","","","","","","","","","","","177","","","","","","","","","20000000","","","","177","4822066500"
"34","외국인관광도시민박업","03_11_04_P","5330000","CDFI2262212013000006","20130801","","01","영업/정상","13","영업중","","","","","","","650150","경상남도 통영시 도남동 384-4번지","경상남도 통영시 데메3길 27-35 (도남동)","","원게스트하우스","20191119174828","I","2019-11-21","","128.422123419281","34.8288524276902","외국인관광 도시민박업","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","200000000","","","","","4822067000"
"35","외국인관광도시민박업","03_11_04_P","5330000","CDFI2262212015000009","20150522","","01","영업/정상","13","영업중","","","","","055-647-0304,","","650140","경상남도 통영시 봉평동 6-7번지","경상남도 통영시 서송정2길 14 (봉평동)","","에피소드 게스트하우스","20200320132850","U","2020-03-22","","128.421127968276","34.8316375778279","외국인관광 도시민박업","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","4822067000"
"36","외국인관광도시민박업","03_11_04_P","5330000","CDFI2262212022000001","20220128","","01","영업/정상","13","영업중","","","","","","","","경상남도 통영시 미수동 953-2","경상남도 통영시 진남2길 28 (미수동)","53070","훌훌게스트하우스","20220128160314","I","2022-01-30","","128.408224121938","34.8328942018966","외국인관광 도시민박업","","일반주거지역","2","주택가주변","","","단독주택","2","0","0","0","","","0","0","","0","0","","0","195","","0","","","","","","","20000000","","","","195","4822066500"
"37","외국인관광도시민박업","03_11_04_P","5330000","CDFI2262212020000001","20200128","","01","영업/정상","13","영업중","","","","","","","","경상남도 통영시 당동 222번지","경상남도 통영시 통영해안로 83-9, 1층 (당동)","53065","통영이 좋다(Tongyeong G·D)","20200423161246","U","2020-04-25","","128.40748558484","34.83486346636","외국인관광 도시민박업","","","2","주택가주변","","","다세대주택","2","","1","128","","","","","","","","","","128","","","","","","","","","","","","","128","4822051000"
"38","외국인관광도시민박업","03_11_04_P","5330000","CDFI2262212018000003","20180611","","01","영업/정상","13","영업중","","","","","","","","경상남도 통영시 북신동 666-27번지 궁전빌딩","경상남도 통영시 북신로 29, 궁전빌딩 6층 (북신동)","53042","Tong Yeong Roof Top Party Guesthouse","20190318162656","U","2019-03-20","","128.428564511939","34.8532974216833","외국인관광 도시민박업","","","","","","","","","","","","Tong Yeong Roof Top Party Guesthouse","","","","","","","","","","","","","","","","","","","","","","","4822060000"
"39","외국인관광도시민박업","03_11_04_P","5330000","CDFI2262212016000002","20160511","","01","영업/정상","13","영업중","","","","","","","","경상남도 통영시 도천동 278-19","경상남도 통영시 중앙로 47-2 (도천동)","53067","통영게스트하우스 가고파","20210216171427","U","2021-02-18","","128.415498555347","34.8396101563868","외국인관광 도시민박업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4822051000"
"40","외국인관광도시민박업","03_11_04_P","5330000","CDFI2262212016000003","20160712","","01","영업/정상","13","영업중","","","","","","","","경상남도 통영시 도남동 516-2","경상남도 통영시 데메3길 27-7 (도남동)","53075","유어즈 게스트하우스","20210223143142","U","2021-02-25","","128.421285404967","34.8285038610241","외국인관광 도시민박업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4822067000"
"41","외국인관광도시민박업","03_11_04_P","5330000","CDFI2262212016000004","20160805","","01","영업/정상","13","영업중","","","","","","","","경상남도 통영시 당동 39-7번지","경상남도 통영시 통영해안로 105-4 (당동)","53066","동백","20160805111255","I","2018-08-31","","128.409990948525","34.8349486444274","외국인관광 도시민박업","","일반주거지역","1","학교정화(상대)","","","단독주택","1","","2","91","","","","","","","","","","91","","","","","","","","","","","","","91","4822051000"
"42","외국인관광도시민박업","03_11_04_P","5330000","CDFI2262212017000002","20170627","","01","영업/정상","13","영업중","","","","","","","","경상남도 통영시 무전동 1054-2번지 103동 1506호","경상남도 통영시 무전1길 23, 103동 1506호 (무전동, 한진로즈힐비치1차)","53035","노을길 게스트하우스","20170628104158","I","2018-08-31","","128.423042123445","34.8619742574297","외국인관광 도시민박업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4822070000"
"43","외국인관광도시민박업","03_11_04_P","5330000","CDFI2262212018000001","20180207","","01","영업/정상","13","영업중","","","","","","","","경상남도 통영시 미수동 954-1","경상남도 통영시 진남2길 21, 201호 (미수동)","53070","페어뷰게스트하우스","20201005075508","U","2020-10-07","","128.408619365415","34.8326619535313","외국인관광 도시민박업","","일반주거지역","3","주택가주변","","","단독주택","3","","","","","","","","","","","","","89","","","","","","","","","","","","","89","4822066500"
"44","외국인관광도시민박업","03_11_04_P","5330000","CDFI2262212018000002","20180411","","01","영업/정상","13","영업중","","","","","","","","경상남도 통영시 봉평동 296-6","경상남도 통영시 봉수로 75-7, 3층 301호 (봉평동)","53078","통영 Luge 게스트하우스","20211116144924","U","2021-11-18","","128.415845271124","34.8244828266329","외국인관광 도시민박업","","일반주거지역","5","","","","단독주택","","","","","","","","","","","","","","","","","","","","","","","","","","","","4822067000"
"45","외국인관광도시민박업","03_11_04_P","5330000","CDFI2262212020000002","20200630","","01","영업/정상","13","영업중","","","","","","","","경상남도 통영시 봉평동 85-12","경상남도 통영시 서송정1길 46-17 (봉평동)","53073","stay5blue","20200630143201","I","2020-07-02","","128.419294617937","34.8314061667218","외국인관광 도시민박업","","일반주거지역","2","주택가주변","","","단독주택","2","","","","","","","","","","","","","72","","","","","","","","","5000000","","","","72","4822067000"
"46","외국인관광도시민박업","03_11_04_P","5330000","CDFI2262212013000005","20130419","","01","영업/정상","13","영업중","","","","","070-7778-2281","","650140","경상남도 통영시 봉평동 296-12","경상남도 통영시 봉수4길 66 (봉평동)","","통_머물다 게스트하우스","20210713130802","I","2021-07-15","","128.415872209182","34.8242878294718","외국인관광 도시민박업","","일반주거지역","","","","","","","","","","","","","","","","","","","","","","","","","","","","300000000","","","","","4822067000"
"47","외국인관광도시민박업","03_11_04_P","5330000","CDFI2262212013000004","20130419","","01","영업/정상","13","영업중","","","","","","","650802","경상남도 통영시 미수동 354-20","경상남도 통영시 진남1길 24 (미수동)","","통영대교게스트하우스","20140110134602","I","2021-08-20","","128.408053190911","34.8333132182744","외국인관광 도시민박업","","일반주거지역","","","","","","","","","","","","","","","","","","","","","","","","","","","","300000000","","","","","4822066500"
"48","외국인관광도시민박업","03_11_04_P","5330000","CDFI2262212015000011","20150806","","01","영업/정상","13","영업중","","","","","","","","경상남도 통영시 도남동 435","경상남도 통영시 도남로 175-27 (도남동)","","통영더스토리 게스트하우스","20150806175656","I","2021-08-20","","128.423242742771","34.8300810724363","외국인관광 도시민박업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4822067000"
"49","외국인관광도시민박업","03_11_04_P","5330000","CDFI2262212015000012","20151216","","01","영업/정상","13","영업중","","","","","","","","경상남도 통영시 동호동 136","경상남도 통영시 중앙시장4길 6-33 (동호동)","","소오게스트하우스","20151216181821","I","2021-08-20","","128.426552729272","34.8453807860452","외국인관광 도시민박업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4822059000"
